Dijkstra (ns); Branch and Bound (ns)
10132200; 842579400
6622200; 729609800
2977000; 694222800
1971700; 706362900
1082100; 724411900
1221600; 707009400
1075400; 751854000
1248800; 703337900
702100; 680645600
734800; 701023100
808900; 702577000
735800; 747859700
823000; 709239000
709500; 690529300
1095800; 705169100
993500; 730788300
702000; 695716700
647900; 707445800
1150500; 726982500
760100; 705840000
1611300; 723152200
681700; 694505200
678300; 682443900
667700; 735303800
1298300; 712113300
764000; 701675700
738100; 723983400
835800; 729178100
1905200; 711478200
871900; 752969900
776100; 749410900
765500; 709589900
723600; 712512300
764800; 689177300
2417700; 716488500
733400; 699215800
777600; 700275700
1435700; 735686100
766300; 700348000
1016700; 699413500
761700; 683785000
750300; 701371600
932900; 698845800
931700; 723279000
825600; 679056800
798200; 702680500
753900; 694955600
741000; 694667700
750000; 733498400
1218700; 701380400
739600; 692671400
804900; 712017700
690100; 697385500
682200; 683662000
1023100; 713881100
871600; 696974000
730300; 694607500
1278700; 742210700
660300; 690010000
657400; 711909600
651900; 697362300
667300; 686843000
1956900; 708222700
2018900; 730280200
688200; 698209600
669000; 719227000
684100; 723645800
821400; 675518000
759600; 720816000
650900; 729344400
654000; 694971900
642400; 701231000
642400; 695511200
649900; 683017100
2772800; 726457200
1727600; 683339200
659400; 700627900
670800; 711300300
806500; 691572900
1017600; 706413700
747900; 725211600
692800; 696494700
703100; 725323900
718600; 729252300
680200; 696741000
687700; 706812000
979900; 696881700
1335100; 690892600
1469900; 714145400
685500; 698908300
658700; 700553900
908500; 693973900
692900; 681417800
885100; 692744400
660800; 688352600
2111600; 716293600
668000; 716221200
690500; 688173900
2401100; 692160000
1516300; 736640900
14357700; 850987600
4856800; 727891500
3521900; 754968100
4719000; 724845000
1363000; 695823000
1081200; 747643900
879300; 723497800
1544500; 727899700
1245500; 719020800
679900; 687380700
1008100; 702774900
732600; 734101600
719900; 696748200
934800; 705510900
785800; 706538800
648600; 700194700
646800; 716493400
1996600; 723823500
655400; 729911100
1780600; 705473400
652100; 691990600
712300; 703339400
656900; 707732000
647900; 745241500
772700; 786530400
2554800; 783196400
756600; 757616900
1255200; 716526700
707700; 805651300
749500; 782028100
726100; 782895900
723600; 751955800
733600; 812373700
1281200; 940991200
786700; 753652900
2873300; 707345900
902700; 715869100
728500; 734501500
956000; 707517900
723700; 731137600
972200; 733851100
716200; 704240700
1299200; 738360600
726700; 726157400
1318900; 698945100
953800; 728951600
834100; 732228200
747100; 713724900
774200; 714484800
735100; 712378300
803900; 707551700
1208100; 739330700
1729200; 707733100
694900; 708402000
1084600; 726501800
665800; 690823000
2687800; 723256000
684500; 720082300
660400; 767090700
721600; 738917100
1353000; 722944200
653000; 723386500
747500; 762363800
717400; 707653600
685800; 741568800
1159100; 733620300
667300; 705284800
643700; 741580600
642800; 726039900
794500; 722608600
3414800; 736272500
921100; 717520700
637400; 703191600
738600; 724083800
1081700; 710462400
1298700; 721114700
675300; 709097400
693600; 723875500
2975500; 706844000
855700; 747982900
876900; 703731700
823900; 703854800
660300; 702990800
1183400; 687401600
664400; 727447100
676600; 739259800
715800; 699620800
667400; 737337000
1352000; 713540600
686100; 722322300
1518900; 755121900
652400; 701399800
2983500; 727034200
2647700; 710510700
682100; 701416500
1059200; 711204600
1110800; 705272700
703000; 697130600
4287600; 780251300
641400; 730452500
